transaction_id,user_id,product_id,quantity,unit_price,total_amount,discount_applied,final_amount,payment_method,transaction_date,delivery_address,order_status,shipping_cost,delivery_date
txn_54f03a16,user_00199,prod_00176,2,778.57,1557.14,110.64,1446.5,e_wallet,2026-03-29 11:41:18,"Bandung, Indonesia",completed,23.26,2026-04-05
txn_f74d37f1,user_00216,prod_00063,1,1436.92,1436.92,72.1,1364.82,e_wallet,2026-02-28 11:41:18,"Tangerang, Indonesia",completed,18.7,2026-03-04
txn_84814a12,user_00677,prod_00165,3,1400.99,4202.97,726.24,3476.73,debit_card,2026-03-29 11:41:18,"Medan, Indonesia",pending,16.01,2026-04-05
txn_20be6f9a,user_00752,prod_00215,3,949.08,2847.24,285.74,2561.5,bank_transfer,2026-01-29 11:41:18,"Jakarta, Indonesia",processing,18.06,2026-02-05
txn_c5a38058,user_00761,prod_00052,1,225.82,225.82,39.12,186.7,bank_transfer,2026-03-09 11:41:18,"Palembang, Indonesia",completed,26.89,2026-03-14
txn_b8630c6c,user_00298,prod_00138,2,1819.44,3638.88,446.04,3192.84,credit_card,2026-02-17 11:41:18,"Bandung, Indonesia",completed,18.31,2026-02-23
txn_dfe472d0,user_00569,prod_00440,1,325.32,325.32,9.95,315.37,credit_card,2026-03-14 11:41:18,"Surabaya, Indonesia",pending,12.3,2026-03-18
txn_f2b57dbd,user_00432,prod_00219,2,1655.93,3311.86,596.39,2715.47,bank_transfer,2026-01-24 11:41:18,"Palembang, Indonesia",completed,12.3,2026-01-29
txn_d696a8fc,user_00861,prod_00383,1,940.0,940.0,69.08,870.92,debit_card,2026-01-09 11:41:18,"Depok, Indonesia",completed,16.02,2026-01-13
txn_1f5e7bb3,user_00827,prod_00447,1,1445.69,1445.69,130.28,1315.41,e_wallet,2026-02-15 11:41:18,"Makassar, Indonesia",cancelled,20.56,2026-02-21
txn_3d08eb13,user_00995,prod_00043,3,1310.24,3930.72,76.6,3854.12,e_wallet,2026-01-19 11:41:18,"Palembang, Indonesia",completed,22.45,2026-01-25
txn_fb8d374c,user_00665,prod_00476,2,297.28,594.56,58.4,536.16,e_wallet,2026-02-07 11:41:18,"Surabaya, Indonesia",completed,27.25,2026-02-10
txn_1c524cf7,user_00786,prod_00499,2,1014.01,2028.02,376.3,1651.72,credit_card,2026-03-29 11:41:18,"Jakarta, Indonesia",processing,24.87,2026-04-01
txn_38cf6947,user_00353,prod_00454,1,679.89,679.89,15.52,664.37,credit_card,2026-03-13 11:41:18,"Surabaya, Indonesia",pending,29.79,2026-03-18
txn_fec67152,user_00158,prod_00293,3,167.94,503.82,21.51,482.31,bank_transfer,2026-03-29 11:41:18,"Surabaya, Indonesia",completed,10.22,2026-04-02
txn_be101015,user_00378,prod_00073,2,1074.37,2148.74,80.2,2068.54,debit_card,2026-02-03 11:41:18,"Surabaya, Indonesia",pending,14.89,2026-02-09
txn_dd916f3d,user_00555,prod_00327,1,751.17,751.17,113.96,637.21,debit_card,2026-02-21 11:41:18,"Surabaya, Indonesia",completed,15.28,2026-02-23
txn_1cd1bc9c,user_00771,prod_00222,2,1290.33,2580.66,303.64,2277.02,e_wallet,2026-01-04 11:41:18,"Makassar, Indonesia",pending,20.22,2026-01-07
txn_2232836e,user_00186,prod_00063,1,1436.92,1436.92,252.14,1184.78,credit_card,2026-03-22 11:41:18,"Bandung, Indonesia",cancelled,18.62,2026-03-28
txn_e0f5c303,user_00334,prod_00438,1,636.85,636.85,31.04,605.81,e_wallet,2026-01-25 11:41:18,"Semarang, Indonesia",completed,22.98,2026-01-31
txn_30db9f39,user_00639,prod_00247,1,78.49,78.49,10.27,68.22,debit_card,2026-02-07 11:41:18,"Palembang, Indonesia",pending,29.61,2026-02-10
txn_bddc0bd3,user_00426,prod_00384,3,721.31,2163.93,84.45,2079.48,bank_transfer,2026-03-18 11:41:18,"Surabaya, Indonesia",completed,28.15,2026-03-22
txn_fcc1bb9e,user_00077,prod_00256,3,870.54,2611.62,247.19,2364.43,credit_card,2026-02-22 11:41:18,"Medan, Indonesia",processing,14.03,2026-02-24
txn_146ab049,user_00375,prod_00159,2,67.42,134.84,22.59,112.25,bank_transfer,2026-03-25 11:41:18,"Depok, Indonesia",processing,27.24,2026-03-30
txn_8b777901,user_00642,prod_00280,3,506.77,1520.31,53.24,1467.07,debit_card,2026-01-06 11:41:18,"Jakarta, Indonesia",processing,17.18,2026-01-09
txn_dadbdfb2,user_00270,prod_00490,2,1256.1,2512.2,117.71,2394.49,credit_card,2026-02-17 11:41:18,"Jakarta, Indonesia",completed,24.15,2026-02-19
txn_b8c5366b,user_00597,prod_00292,3,1212.5,3637.5,41.2,3596.3,credit_card,2026-02-25 11:41:18,"Bekasi, Indonesia",pending,20.47,2026-03-03
txn_4ea063f4,user_00526,prod_00305,2,1185.07,2370.14,74.73,2295.41,debit_card,2026-02-02 11:41:18,"Medan, Indonesia",completed,24.64,2026-02-06
txn_1404316a,user_00349,prod_00302,2,104.53,209.06,14.96,194.1,credit_card,2026-03-15 11:41:18,"Bandung, Indonesia",cancelled,22.44,2026-03-18
txn_cb0cabbc,user_00554,prod_00480,1,408.33,408.33,15.3,393.03,credit_card,2026-01-09 11:41:18,"Semarang, Indonesia",completed,13.26,2026-01-16
txn_4367d46d,user_00403,prod_00228,1,80.59,80.59,9.81,70.78,credit_card,2026-01-03 11:41:18,"Bandung, Indonesia",completed,19.37,2026-01-10
txn_405c56fb,user_00527,prod_00071,1,508.13,508.13,8.14,499.99,debit_card,2026-03-08 11:41:18,"Makassar, Indonesia",processing,19.26,2026-03-10
txn_48bfe192,user_00378,prod_00045,2,399.8,799.6,94.47,705.13,bank_transfer,2026-01-03 11:41:18,"Surabaya, Indonesia",processing,20.38,2026-01-10
txn_9bf78a7c,user_00285,prod_00291,3,251.8,755.4,66.12,689.28,bank_transfer,2026-01-11 11:41:18,"Makassar, Indonesia",processing,12.46,2026-01-13
txn_4146f1ea,user_00760,prod_00355,3,414.91,1244.73,112.15,1132.58,e_wallet,2026-01-19 11:41:18,"Medan, Indonesia",completed,12.17,2026-01-24
txn_45a754a1,user_00871,prod_00078,2,733.29,1466.58,131.91,1334.67,debit_card,2026-02-21 11:41:18,"Bekasi, Indonesia",processing,27.85,2026-02-25
txn_949e4afc,user_00336,prod_00424,3,1294.43,3883.29,410.01,3473.28,e_wallet,2026-02-17 11:41:18,"Jakarta, Indonesia",completed,14.31,2026-02-23
txn_1cca2675,user_00381,prod_00400,1,1885.04,1885.04,190.67,1694.37,credit_card,2026-01-28 11:41:18,"Makassar, Indonesia",completed,29.21,2026-02-03
txn_4588fcf3,user_00833,prod_00195,3,1099.98,3299.94,241.6,3058.34,e_wallet,2026-02-09 11:41:18,"Medan, Indonesia",completed,18.95,2026-02-12
txn_16c9d3b3,user_00768,prod_00119,2,480.47,960.94,31.91,929.03,e_wallet,2026-01-17 11:41:18,"Jakarta, Indonesia",completed,26.05,2026-01-19
txn_f249f27b,user_00976,prod_00229,3,1204.39,3613.17,520.16,3093.01,e_wallet,2026-03-19 11:41:18,"Bandung, Indonesia",completed,13.95,2026-03-21
txn_f8aa63a5,user_00992,prod_00001,2,1300.15,2600.3,224.34,2375.96,e_wallet,2026-02-14 11:41:18,"Surabaya, Indonesia",pending,19.97,2026-02-16
txn_9a48e8e3,user_00604,prod_00422,3,1516.54,4549.62,238.67,4310.95,bank_transfer,2026-03-17 11:41:18,"Tangerang, Indonesia",completed,15.6,2026-03-20
txn_51162368,user_00926,prod_00191,1,1212.45,1212.45,153.64,1058.81,credit_card,2026-02-25 11:41:18,"Bekasi, Indonesia",pending,20.56,2026-02-28
txn_7bb005d0,user_00346,prod_00146,2,429.23,858.46,54.79,803.67,debit_card,2026-02-07 11:41:18,"Makassar, Indonesia",cancelled,13.71,2026-02-13
txn_2ccd7814,user_00384,prod_00355,1,414.91,414.91,33.64,381.27,debit_card,2026-01-20 11:41:18,"Medan, Indonesia",pending,18.99,2026-01-27
txn_d21ad938,user_00421,prod_00078,1,733.29,733.29,87.86,645.43,credit_card,2026-02-07 11:41:18,"Medan, Indonesia",completed,14.37,2026-02-14
txn_05306bb2,user_00426,prod_00444,3,1029.61,3088.83,533.85,2554.98,credit_card,2026-03-30 11:41:18,"Surabaya, Indonesia",pending,26.77,2026-04-02
